run,fitness,omega,c1,c2
1,15499178867.783716,0.7,1.4,1.4
1,2779814913.496339,0.7,1.4,1.4
1,2779814913.496339,0.7,1.4,1.4
1,664252562.8819413,0.7,1.4,1.4
1,664252562.8819413,0.7,1.4,1.4
1,664252562.8819413,0.7,1.4,1.4
1,664252562.8819413,0.7,1.4,1.4
1,651341667.9192387,0.7,1.4,1.4
1,139219633.63210684,0.7,1.4,1.4
1,133829322.63506651,0.7,1.4,1.4
1,57606527.27164463,0.7,1.4,1.4
1,57606527.27164463,0.7,1.4,1.4
1,57606527.27164463,0.7,1.4,1.4
1,57606527.27164463,0.7,1.4,1.4
1,45065801.81332061,0.7,1.4,1.4
1,45065801.81332061,0.7,1.4,1.4
1,27683112.968519084,0.7,1.4,1.4
1,11217757.137636997,0.7,1.4,1.4
1,11217757.137636997,0.7,1.4,1.4
1,7333415.256088885,0.7,1.4,1.4
1,6316112.366758026,0.7,1.4,1.4
1,6316112.366758026,0.7,1.4,1.4
1,3515687.7846207498,0.7,1.4,1.4
1,3515687.7846207498,0.7,1.4,1.4
1,3515687.7846207498,0.7,1.4,1.4
1,2189293.9223527117,0.7,1.4,1.4
1,1515291.7586217243,0.7,1.4,1.4
1,711891.1056910065,0.7,1.4,1.4
1,103325.49246799375,0.7,1.4,1.4
1,103325.49246799375,0.7,1.4,1.4
1,103325.49246799375,0.7,1.4,1.4
1,93373.0493556511,0.7,1.4,1.4
1,93373.0493556511,0.7,1.4,1.4
1,29911.855966766198,0.7,1.4,1.4
1,29911.855966766198,0.7,1.4,1.4
1,25423.895494069468,0.7,1.4,1.4
1,25423.895494069468,0.7,1.4,1.4
1,15648.875787690964,0.7,1.4,1.4
1,15648.875787690964,0.7,1.4,1.4
1,15648.875787690964,0.7,1.4,1.4
1,15648.875787690964,0.7,1.4,1.4
1,9669.732837073636,0.7,1.4,1.4
1,6615.006016459526,0.7,1.4,1.4
1,6615.006016459526,0.7,1.4,1.4
1,6615.006016459526,0.7,1.4,1.4
1,4864.632547058698,0.7,1.4,1.4
1,4864.632547058698,0.7,1.4,1.4
1,2455.821355998903,0.7,1.4,1.4
1,1066.242564181223,0.7,1.4,1.4
1,1066.242564181223,0.7,1.4,1.4
1,978.1772753525987,0.7,1.4,1.4
1,775.5005951542909,0.7,1.4,1.4
1,377.2407635354727,0.7,1.4,1.4
1,329.5015814555794,0.7,1.4,1.4
1,267.81803809362424,0.7,1.4,1.4
1,230.76034866908532,0.7,1.4,1.4
1,135.86561890967346,0.7,1.4,1.4
1,111.66742976520429,0.7,1.4,1.4
1,111.66742976520429,0.7,1.4,1.4
1,99.94832646366207,0.7,1.4,1.4
1,74.08595996919124,0.7,1.4,1.4
1,67.00329674756912,0.7,1.4,1.4
1,67.00329674756912,0.7,1.4,1.4
1,67.00329674756912,0.7,1.4,1.4
1,46.23264725086068,0.7,1.4,1.4
1,33.0253644579208,0.7,1.4,1.4
1,26.029595204682522,0.7,1.4,1.4
1,26.029595204682522,0.7,1.4,1.4
1,23.877043590759932,0.7,1.4,1.4
1,19.670537716360485,0.7,1.4,1.4
1,15.508506065876883,0.7,1.4,1.4
1,14.140107444699932,0.7,1.4,1.4
1,14.140107444699932,0.7,1.4,1.4
1,8.938871396252134,0.7,1.4,1.4
1,8.938871396252134,0.7,1.4,1.4
1,8.043579161250694,0.7,1.4,1.4
1,8.043579161250694,0.7,1.4,1.4
1,8.037507241042446,0.7,1.4,1.4
1,8.037507241042446,0.7,1.4,1.4
1,8.037507241042446,0.7,1.4,1.4
1,8.037507241042446,0.7,1.4,1.4
1,7.5870401647555825,0.7,1.4,1.4
1,7.5870401647555825,0.7,1.4,1.4
1,7.5870401647555825,0.7,1.4,1.4
1,7.188491566918287,0.7,1.4,1.4
1,7.188491566918287,0.7,1.4,1.4
1,7.0849258796152235,0.7,1.4,1.4
1,7.0849258796152235,0.7,1.4,1.4
1,6.947105711010944,0.7,1.4,1.4
1,6.8409651829162375,0.7,1.4,1.4
1,6.746692596907534,0.7,1.4,1.4
1,6.746692596907534,0.7,1.4,1.4
1,6.731335164535342,0.7,1.4,1.4
1,6.718236784114767,0.7,1.4,1.4
1,6.686887166060768,0.7,1.4,1.4
1,6.686887166060768,0.7,1.4,1.4
1,6.686887166060768,0.7,1.4,1.4
1,6.686887166060768,0.7,1.4,1.4
1,6.65528404890083,0.7,1.4,1.4
1,6.643460133663835,0.7,1.4,1.4
2,3964297178.3146725,0.7,1.4,1.4
2,3015678926.4664907,0.7,1.4,1.4
2,3015678926.4664907,0.7,1.4,1.4
2,1888530036.210698,0.7,1.4,1.4
2,1792465609.7166483,0.7,1.4,1.4
2,1639970938.6681325,0.7,1.4,1.4
2,594558215.3034414,0.7,1.4,1.4
2,439354815.4070597,0.7,1.4,1.4
2,247190591.7556656,0.7,1.4,1.4
2,247190591.7556656,0.7,1.4,1.4
2,247190591.7556656,0.7,1.4,1.4
2,176504346.78339833,0.7,1.4,1.4
2,94976968.73973817,0.7,1.4,1.4
2,48057616.3923115,0.7,1.4,1.4
2,12373500.189561913,0.7,1.4,1.4
2,12373500.189561913,0.7,1.4,1.4
2,12373500.189561913,0.7,1.4,1.4
2,3861415.104428968,0.7,1.4,1.4
2,3861415.104428968,0.7,1.4,1.4
2,2852949.8167404463,0.7,1.4,1.4
2,2825926.3648864236,0.7,1.4,1.4
2,2825926.3648864236,0.7,1.4,1.4
2,2077131.4096104475,0.7,1.4,1.4
2,1239231.8005524052,0.7,1.4,1.4
2,919100.5003719297,0.7,1.4,1.4
2,543332.9639354307,0.7,1.4,1.4
2,543332.9639354307,0.7,1.4,1.4
2,543332.9639354307,0.7,1.4,1.4
2,543332.9639354307,0.7,1.4,1.4
2,303861.0169210663,0.7,1.4,1.4
2,303861.0169210663,0.7,1.4,1.4
2,303861.0169210663,0.7,1.4,1.4
2,268800.32492514973,0.7,1.4,1.4
2,120885.13487220551,0.7,1.4,1.4
2,85849.08562068647,0.7,1.4,1.4
2,85849.08562068647,0.7,1.4,1.4
2,85849.08562068647,0.7,1.4,1.4
2,85849.08562068647,0.7,1.4,1.4
2,34730.105836444076,0.7,1.4,1.4
2,17835.42374983731,0.7,1.4,1.4
2,17835.42374983731,0.7,1.4,1.4
2,6417.473492918932,0.7,1.4,1.4
2,6417.473492918932,0.7,1.4,1.4
2,6417.473492918932,0.7,1.4,1.4
2,6417.473492918932,0.7,1.4,1.4
2,6417.473492918932,0.7,1.4,1.4
2,5598.547358362173,0.7,1.4,1.4
2,5598.547358362173,0.7,1.4,1.4
2,5356.821481541912,0.7,1.4,1.4
2,3916.9060718961355,0.7,1.4,1.4
2,3717.9590882444563,0.7,1.4,1.4
2,3588.235094458435,0.7,1.4,1.4
2,1959.3939185928082,0.7,1.4,1.4
2,1694.4871681383104,0.7,1.4,1.4
