c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
1.49618,1.49618,1.051137229401894,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.8465298347348948,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5577342311716413,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5577342311716413,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.554545475636417,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
1.49618,1.49618,0.5311676171085796,200,0.55,50,1,0.02,0.1,0.2,2
