c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
2.0,1.49618,95374850.48320125,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,95230575.62659319,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,95068253.39022985,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,94826812.03155416,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,94565718.50845234,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,94221497.58478667,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,93848082.98383313,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,93439554.85724247,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,93043964.61712867,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,92572367.71527024,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,91977585.83210379,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,91340124.88277268,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,90595766.53042494,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,89608101.50826427,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,88252242.92796883,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,86433888.01516268,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,83125544.2271855,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,78980427.15978509,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,73852068.29728028,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,67283002.73745112,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,62766511.731077746,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,55921734.011382,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,51274163.42749202,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,50175669.61310619,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,48892198.82048372,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,46256478.547173634,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,43760996.71523094,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,39182686.32387125,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,31027383.574993886,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,18591704.03592494,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-38005918.52051124,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-115310744.08553684,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-165690298.79434183,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-166863076.855548,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-166863076.855548,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-167846639.48781717,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-174682386.06448317,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-176539868.5324263,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-177877949.36093628,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-180933179.94133684,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-180933179.94133684,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-191120506.40499985,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-194917037.91844183,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-198160350.49556834,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-210267350.40881884,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-218484681.16162544,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-234030659.4986722,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-259562699.5471663,500,0.7298,200,1,0.2,0.1,0.2,10
2.0,1.49618,-293382923.0884279,500,0.7298,200,1,0.2,0.1,0.2,10
