c1,c2,fitness,max_iters,omega,pop_size,run,n_clusters
1.49618,1.49618,2523.507102462818,50,0.55,50,1,2
1.49618,1.49618,2348.161963234314,50,0.55,50,1,2
1.49618,1.49618,2348.161963234314,50,0.55,50,1,2
1.49618,1.49618,1964.5360079479465,50,0.55,50,1,2
1.49618,1.49618,1305.695367863469,50,0.55,50,1,2
1.49618,1.49618,-547.4738107041744,50,0.55,50,1,2
1.49618,1.49618,-2926.1846602320575,50,0.55,50,1,2
1.49618,1.49618,-8491.154417262733,50,0.55,50,1,2
1.49618,1.49618,-13745.443831686574,50,0.55,50,1,2
1.49618,1.49618,-28805.818922376013,50,0.55,50,1,2
1.49618,1.49618,-42197.48712008536,50,0.55,50,1,2
1.49618,1.49618,-62560.23879348877,50,0.55,50,1,2
1.49618,1.49618,-97977.19775413489,50,0.55,50,1,2
1.49618,1.49618,-126824.72040169663,50,0.55,50,1,2
1.49618,1.49618,-173711.1367304366,50,0.55,50,1,2
1.49618,1.49618,-218641.26877870585,50,0.55,50,1,2
1.49618,1.49618,-270427.14387773816,50,0.55,50,1,2
1.49618,1.49618,-354226.0565556162,50,0.55,50,1,2
1.49618,1.49618,-450325.8847551942,50,0.55,50,1,2
1.49618,1.49618,-553490.50224376,50,0.55,50,1,2
1.49618,1.49618,-728633.4654173404,50,0.55,50,1,2
1.49618,1.49618,-919195.8609146476,50,0.55,50,1,2
1.49618,1.49618,-1152122.8406478502,50,0.55,50,1,2
1.49618,1.49618,-1500629.046679669,50,0.55,50,1,2
1.49618,1.49618,-1862734.4105175487,50,0.55,50,1,2
1.49618,1.49618,-2347569.550942878,50,0.55,50,1,2
1.49618,1.49618,-3131442.9731540815,50,0.55,50,1,2
1.49618,1.49618,-3871263.3233258063,50,0.55,50,1,2
1.49618,1.49618,-4933068.795079885,50,0.55,50,1,2
1.49618,1.49618,-6302050.610648474,50,0.55,50,1,2
1.49618,1.49618,-7516568.165871788,50,0.55,50,1,2
1.49618,1.49618,-9364564.296963897,50,0.55,50,1,2
1.49618,1.49618,-11687008.000506818,50,0.55,50,1,2
1.49618,1.49618,-14662405.438665563,50,0.55,50,1,2
1.49618,1.49618,-17462751.484230787,50,0.55,50,1,2
1.49618,1.49618,-21423513.091262527,50,0.55,50,1,2
1.49618,1.49618,-27010683.90262673,50,0.55,50,1,2
1.49618,1.49618,-34586158.70552626,50,0.55,50,1,2
1.49618,1.49618,-41627554.67402221,50,0.55,50,1,2
1.49618,1.49618,-51875781.88701494,50,0.55,50,1,2
1.49618,1.49618,-65193393.4094328,50,0.55,50,1,2
1.49618,1.49618,-82067556.53575303,50,0.55,50,1,2
1.49618,1.49618,-103067982.52182017,50,0.55,50,1,2
1.49618,1.49618,-138365398.0008123,50,0.55,50,1,2
1.49618,1.49618,-176742477.42064595,50,0.55,50,1,2
1.49618,1.49618,-236912411.94290206,50,0.55,50,1,2
1.49618,1.49618,-312303509.1801587,50,0.55,50,1,2
1.49618,1.49618,-403101789.93989706,50,0.55,50,1,2
1.49618,1.49618,-532147151.7859209,50,0.55,50,1,2
1.49618,1.49618,-667367479.2001109,50,0.55,50,1,2
1.49618,1.49618,2451.546027398763,50,0.55,50,2,2
1.49618,1.49618,2129.278213430087,50,0.55,50,2,2
1.49618,1.49618,2069.212976018873,50,0.55,50,2,2
1.49618,1.49618,1010.1914857449539,50,0.55,50,2,2
1.49618,1.49618,-447.37667248776074,50,0.55,50,2,2
1.49618,1.49618,-2790.9032383013846,50,0.55,50,2,2
1.49618,1.49618,-7481.285638612233,50,0.55,50,2,2
1.49618,1.49618,-15867.32152125753,50,0.55,50,2,2
1.49618,1.49618,-27879.136529584746,50,0.55,50,2,2
1.49618,1.49618,-64347.96296212432,50,0.55,50,2,2
1.49618,1.49618,-104499.07520080867,50,0.55,50,2,2
1.49618,1.49618,-145734.98660103348,50,0.55,50,2,2
1.49618,1.49618,-216133.36866672238,50,0.55,50,2,2
1.49618,1.49618,-298556.00296796276,50,0.55,50,2,2
1.49618,1.49618,-414003.38549969695,50,0.55,50,2,2
1.49618,1.49618,-587126.8813188523,50,0.55,50,2,2
1.49618,1.49618,-762616.1122279179,50,0.55,50,2,2
1.49618,1.49618,-1012415.52671186,50,0.55,50,2,2
1.49618,1.49618,-1402604.4545274966,50,0.55,50,2,2
1.49618,1.49618,-1715984.8298678976,50,0.55,50,2,2
1.49618,1.49618,-2174353.2841830277,50,0.55,50,2,2
1.49618,1.49618,-2708586.4157819226,50,0.55,50,2,2
1.49618,1.49618,-3497677.702990333,50,0.55,50,2,2
1.49618,1.49618,-4529885.789215118,50,0.55,50,2,2
1.49618,1.49618,-5826025.622211928,50,0.55,50,2,2
1.49618,1.49618,-8227807.19998928,50,0.55,50,2,2
1.49618,1.49618,-10885996.388289433,50,0.55,50,2,2
1.49618,1.49618,-13890656.442464449,50,0.55,50,2,2
1.49618,1.49618,-17866680.999116153,50,0.55,50,2,2
1.49618,1.49618,-25186982.514522973,50,0.55,50,2,2
1.49618,1.49618,-32014533.596625395,50,0.55,50,2,2
1.49618,1.49618,-41308406.72942217,50,0.55,50,2,2
1.49618,1.49618,-54209118.16502206,50,0.55,50,2,2
1.49618,1.49618,-69058383.72870827,50,0.55,50,2,2
1.49618,1.49618,-85318006.40144914,50,0.55,50,2,2
1.49618,1.49618,-105696796.79217297,50,0.55,50,2,2
1.49618,1.49618,-132311600.87644173,50,0.55,50,2,2
1.49618,1.49618,-160329450.61674955,50,0.55,50,2,2
1.49618,1.49618,-195639585.8738086,50,0.55,50,2,2
1.49618,1.49618,-246108846.76474768,50,0.55,50,2,2
1.49618,1.49618,-297767893.6072935,50,0.55,50,2,2
1.49618,1.49618,-369628176.44233644,50,0.55,50,2,2
1.49618,1.49618,-464016088.5023247,50,0.55,50,2,2
1.49618,1.49618,-611598044.7305357,50,0.55,50,2,2
1.49618,1.49618,-778042116.674057,50,0.55,50,2,2
1.49618,1.49618,-1052294081.7793021,50,0.55,50,2,2
1.49618,1.49618,-1324620212.586013,50,0.55,50,2,2
1.49618,1.49618,-1825780832.6609564,50,0.55,50,2,2
1.49618,1.49618,-2354238403.7613564,50,0.55,50,2,2
1.49618,1.49618,-3100601024.5884714,50,0.55,50,2,2
1.49618,1.49618,2366.639036400101,50,0.55,50,3,2
1.49618,1.49618,2366.639036400101,50,0.55,50,3,2
1.49618,1.49618,2280.2333517983366,50,0.55,50,3,2
1.49618,1.49618,2181.4387517983296,50,0.55,50,3,2
1.49618,1.49618,1675.697840471077,50,0.55,50,3,2
1.49618,1.49618,-1020.3586701149127,50,0.55,50,3,2
1.49618,1.49618,-4510.043613580668,50,0.55,50,3,2
1.49618,1.49618,-11042.303955919266,50,0.55,50,3,2
1.49618,1.49618,-26232.77988781711,50,0.55,50,3,2
1.49618,1.49618,-50262.919165121384,50,0.55,50,3,2
1.49618,1.49618,-79250.03568063024,50,0.55,50,3,2
1.49618,1.49618,-113706.53646102543,50,0.55,50,3,2
1.49618,1.49618,-165533.71367639472,50,0.55,50,3,2
1.49618,1.49618,-218448.9782279043,50,0.55,50,3,2
1.49618,1.49618,-277797.2158180651,50,0.55,50,3,2
1.49618,1.49618,-352544.27425621555,50,0.55,50,3,2
1.49618,1.49618,-420268.35598839185,50,0.55,50,3,2
