c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
1.49618,1.49618,534.5214522166401,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,212.70037252957462,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,102.12870795807862,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,56.10555670762367,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,35.411409385099084,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,22.575236340560124,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,16.337799246415603,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,11.706507372145948,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,8.640226229885688,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,6.496300772158719,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,4.609536126595341,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,3.65905989208125,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.8266198989264093,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.19855733621938,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.7282883875671782,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.3680472116436206,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.1051303251344786,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.908138638471851,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.7444857440956053,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.6276716875003697,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.5275286688850946,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.4373413583381369,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.3759257392590582,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.3248200299878483,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.2744342540099747,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.23020737203454011,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.19738322000079814,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.15898495180663683,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.12344094696454876,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0966615422694115,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.07317775882277924,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.05421554462126652,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.03713431668769157,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.026495525459815,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.018700878376383834,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.012576678870220515,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.008860792501128522,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.005716655697967745,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0035524413384362984,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0023611472812211033,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0015394614283871612,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0009908956941161499,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.000692927682706791,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.00047040108484129443,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.0003009118825075961,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.00020910431179662812,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,0.00013394244230982458,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,8.982559881215621e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,6.112342299293035e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,3.926755455437129e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.5439384867569358e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.7532526492986985e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.0583642363663878e-05,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,7.407938293448527e-06,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,4.836773267601293e-06,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,3.1119149083924127e-06,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.034248943135612e-06,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.3500858687854176e-06,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,8.858296417662694e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,5.74396912444512e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,3.860971886599474e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.5365924123871634e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.7453827332752023e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.167719074852101e-07,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,7.846976503547921e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,5.3821894755977994e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,3.742736505895003e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.556854854687937e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.777894062180644e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.244926802581394e-08,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,8.647448805027576e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,6.0327528979023345e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,4.21652697171726e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,2.7191829997672205e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.8425262346175069e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,1.2604654216796754e-09,200,0.55,200,1,0.2,0.1,0.2,2
1.49618,1.49618,8.221954091359462e-10,200,0.55,200,1,0.2,0.1,0.2,2
