c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
2.0,1.49618,1.8150033652491875,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.9122265180842563,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.37026350902388167,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.18220727938232267,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.07775725868194278,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.07775725868194278,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.07775725868194278,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.07309016290127357,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.06903634985969864,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.05515465393485667,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.052422603501495885,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.052422603501495885,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.052422603501495885,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.051401915449733895,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.051401915449733895,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.051401915449733895,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.051401915449733895,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.049730960609247706,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.049730960609247706,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.049730960609247706,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.045596447985875976,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.045596447985875976,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.045596447985875976,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.04208354094602063,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.04208354094602063,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.04208354094602063,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.04208354094602063,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.03991875372497061,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.03824154959393887,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.03792297628593314,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.031352378757089926,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.031352378757089926,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.026473907852018773,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.016397428476322414,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.007745854624989178,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.0053209239131885785,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.0026181683317017105,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.0017972320780922672,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.0011645677799765536,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.0008704529802538334,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00046757086350272684,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00028297817690786236,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00023309052869843673,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00018894492853442255,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00013288472263244788,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,0.00010836443248887171,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.935222773230935e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,6.0257257768008174e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.0904357618180694e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.945815061119221e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.5505675542798255e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.823554075252891e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.5722056299581234e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.0132557411605337e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.4236347030100747e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.1715302894027008e-05,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.032752638008175e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.4824968957488595e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,6.3317800766629424e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.859766277313415e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.274585521183882e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.214799811904763e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.7954111559705376e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.413561579612028e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.8200922494927424e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.6779086287729385e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.4235305741230314e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.840260712074801e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.6698154959516746e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.5795861649616175e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.222360441411757e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.0195103444551627e-06,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,8.334519625188653e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.70906569913757e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.351907606598349e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.6331326807734553e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.3427388508868856e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.5006846937554217e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.1674529478484487e-07,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.06468909036658e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,6.242515341645648e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.887625957793785e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.6688658413119682e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.5907400273876033e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.1660353872696662e-08,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.8795263116751e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.195505806947274e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.261409917929085e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.3799640959226615e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.7072408262508349e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.1216450280321869e-09,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.824224044965418e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.252685423621578e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.756962215296937e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.475019123372947e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.693257938163763e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.9671473749530003e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.554253202470766e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.2310777723155267e-10,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.648058747048727e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.55330003639281e-11,500,0.7298,200,1,0.05,0.1,0.2,15
