pso,hgapso,logapso
5485379.939950955,5489006.554349795,5486178.736271488
5413426.705456952,5437664.026866606,5416625.974824873
5294330.471018731,5403153.608047602,5312450.296133062
5154160.26519375,5163532.357835055,5175736.789025796
4971643.4056611555,4836453.970516104,4998675.8378490945
4741048.766025533,4204401.2599155065,4775074.787456086
4431564.366085228,3336936.2307865983,4454456.763575767
4009817.6008880334,2377222.930864741,3801431.754800708
3450651.528612935,881918.8291410618,2992256.6445699884
2682124.543490042,-678415.524093082,2427009.1520269415
1821670.6908950668,-3356396.3121459982,1980292.4051340956
782108.6659600029,-17967584.29929688,1370295.815215333
17940.226054253893,-66580771.70560519,590425.0642774672
-539266.328259256,-282108444.6623282,-293708.16972689395
-1725287.9360480737,-927884269.2894976,-1534853.3277460176
-4209614.96751079,-3201856434.291879,-3060806.8248162013
-9224068.415900007,-12062804096.187506,-5778263.694968076
-21100578.018684246,-37629870647.04379,-11023037.522828843
-49449204.57783979,-135161189096.09286,-22404555.83301859
-112257662.1352826,-481043610614.74335,-45806371.46024732
-238302233.03479242,-1599907512516.1968,-99568105.35383464
-472512022.0526802,-6049753467311.992,-208747325.35157675
-1049507978.3045719,-21396242482074.176,-474909579.553022
-2529953970.101181,-74392479356606.6,-1071210643.0746555
-5511486078.775298,-249622598271740.8,-2470759687.0661154
-12665432980.697641,-881642679662295.0,-5670967457.845598
-29093040002.96516,-2848411571608862.0,-12152539999.851019
-68597900259.98338,-9248513394394878.0,-26475311082.942177
-165007722984.37778,-3.381614258717561e+16,-67965349189.35996
-412817235438.1026,-1.17584212115029e+17,-163415997530.04355
-1093743535423.0422,-4.0722264131848096e+17,-377866068285.2199
-2775683052006.406,-1.356716020503841e+18,-914744854188.0886
-6462118882756.318,-4.611731901073125e+18,-2281726821776.3506
-13907431644080.959,-1.5806177775675812e+19,-5226281007333.889
-30267749116817.273,-5.360219179343132e+19,-11880851020730.85
-64086301850526.48,-1.637827484685813e+20,-25596187836392.406
-130247341263202.3,-5.276169960387692e+20,-54838894682682.2
-296872029812522.3,-1.8628245633050128e+21,-118341298545136.67
-675340002770584.8,-6.135473461558052e+21,-248266094121124.8
-1408703570622563.2,-2.0577848461287018e+22,-568841425096920.2
-2931002761000701.5,-7.125192850267681e+22,-1248876122969949.0
-6188877190351888.0,-2.502074528627154e+23,-3008620683951499.5
-1.3435313698812772e+16,-8.422583160212214e+23,-7352731240556910.0
-2.953633073103023e+16,-2.9359606075247547e+24,-1.834918159295049e+16
-6.3830219945071336e+16,-1.0108890096842997e+25,-4.444479340595195e+16
-1.3665876844386616e+17,-3.3896223051486905e+25,-1.0922499206940266e+17
-3.208899942119963e+17,-1.1784871102388255e+26,-2.638135155899718e+17
-7.738901109694927e+17,-4.0136157555126205e+26,-6.82986952345639e+17
-1.696425407486465e+18,-1.3852814446204958e+27,-1.5868902416985492e+18
-3.67080523670338e+18,-4.9419204335511496e+27,-3.3689820963130496e+18
-8.560133304238434e+18,-1.7952869813396443e+28,-6.915060783835187e+18
-1.9574345905597882e+19,-6.087762227232874e+28,-1.5126382752033296e+19
-4.3632171017657336e+19,-2.0803442427392276e+29,-3.1050497617822437e+19
-9.775347237080216e+19,-6.901172831397072e+29,-6.627576590336048e+19
-2.47838527778925e+20,-2.3395443015123333e+30,-1.3916181596409823e+20
-5.4504394247421546e+20,-7.939630552269394e+30,-3.146609300580575e+20
