pso,hgapso,logapso
2356.5747189874182,2175.947437107958,2256.360596416476
1101.1467666194117,1980.462675058748,1840.8648565421086
-6831.894447580295,-823.6469100321971,-434.3521913713088
-31255.921288019803,-28745.685396938636,-14361.245944405377
-120867.20387276044,-112270.67628834206,-79968.21709011673
-365932.02882520633,-454132.90052079584,-268048.65862808155
-1091416.6654417063,-1766989.9467856928,-839799.9813779294
-2947117.7404861962,-6435786.332442135,-2625871.233264748
-7410562.070722247,-22728199.191109143,-7106062.150443798
-18255372.407231744,-82028487.3234255,-17925794.14521028
-42919432.86812742,-284791824.7607069,-44285235.64228484
-96767349.94056669,-994556854.9589794,-106038730.1125245
-226304326.6314993,-3435978097.9461164,-249459580.04591712
-504493030.6109678,-11887866315.550932,-594768661.6114812
-1203153583.6385868,-41474872230.09004,-1344240523.6546912
-2801974398.227458,-142712779892.81427,-3090015121.5943656
-6696478546.686527,-494775239038.4574,-6805138326.736955
-15950603013.303802,-1730984022158.7878,-14988289611.779943
-39388569959.512085,-6153584636602.042,-33418441867.75715
-93464071885.08174,-20847789852252.6,-78173155977.86024
-222837656618.18546,-73077185942453.27,-185569220492.54245
-523543068206.98096,-258512440899104.56,-439715473426.8905
-1284725064683.904,-893693155196608.6,-1003423208409.0059
-2975972820045.663,-3083750998572109.0,-2444831018185.5513
-6829618963019.245,-1.057499815924719e+16,-5885352831170.254
-15430600385162.207,-3.600547274116353e+16,-13652084993778.738
-35786816408835.39,-1.26093188203829e+17,-33024493361235.5
-82330756768657.7,-4.442307298297556e+17,-81779902439024.73
-187658160464151.2,-1.5322624174576707e+18,-186627585514984.2
-419238834657856.3,-5.187060491652756e+18,-427022817076741.4
-936886256225781.2,-1.7744295100595618e+19,-967777563638017.6
-2223529410544242.8,-6.095464450965777e+19,-2237055972206620.0
-5096784228958002.0,-2.086230435479668e+20,-5320407145770144.0
-1.1659488638319508e+16,-6.992298374569808e+20,-1.242341361259814e+16
-2.7864991108291704e+16,-2.404433357065434e+21,-3.0508094452094668e+16
-6.525935950735403e+16,-8.253997581476978e+21,-7.45406454343999e+16
-1.510609568131425e+17,-2.8244530431026795e+22,-1.8230318599326176e+17
-3.4572437605883136e+17,-9.88647287878788e+22,-4.122929226970363e+17
-7.97149568204119e+17,-3.3533209765328056e+23,-9.31375218310339e+17
-1.8822356908947768e+18,-1.1703147013756371e+24,-2.1663766093093696e+18
-4.300225474248056e+18,-3.823237927822357e+24,-4.860829390518981e+18
-9.898690135404937e+18,-1.3285796979634192e+25,-1.1473290623783932e+19
-2.2895799299236884e+19,-4.5823136940255216e+25,-2.4830243619620987e+19
-5.480532476874688e+19,-1.5922535234590448e+26,-5.936309557075466e+19
-1.2623270613126642e+20,-5.3445701827344754e+26,-1.3281627902700483e+20
-3.005691040252535e+20,-1.8361561457925878e+27,-2.996167492209607e+20
-6.741912998734716e+20,-6.363469960781241e+27,-6.689299973875125e+20
-1.5371288010100528e+21,-2.1941006064665985e+28,-1.4712684646612006e+21
-3.4363673940468947e+21,-7.560997424065623e+28,-3.289172421649385e+21
-7.863190971957162e+21,-2.6065170737805477e+29,-7.430849967759958e+21
-1.7623657674381984e+22,-9.133772142579676e+29,-1.6700392865901549e+22
-3.888868081519775e+22,-2.99725924708496e+30,-3.6665497622548574e+22
-8.886711979444576e+22,-1.052273437228542e+31,-8.297996993851461e+22
-1.979462524554447e+23,-3.6596485170368776e+31,-1.8488355911758247e+23
-4.470279586150908e+23,-1.2559492932441052e+32,-4.203512481521579e+23
-9.96790182906369e+23,-4.380279014199447e+32,-9.804766839532358e+23
-2.4127156813172625e+24,-1.499553166115315e+33,-2.252838382602047e+24
-5.809423099854405e+24,-5.275819128971879e+33,-5.050438757832941e+24
-1.3747002642355068e+25,-1.8610097886605092e+34,-1.127226597845157e+25
-3.140134837032768e+25,-6.249811578774565e+34,-2.423705475525649e+25
-7.344760157488908e+25,-2.1102715284581756e+35,-5.259379430421297e+25
-1.659924658940665e+26,-7.262553366706096e+35,-1.1741058210286122e+26
-3.971822127731499e+26,-2.523377743427783e+36,-2.6905697467935023e+26
-9.027716781941344e+26,-8.822628341354843e+36,-5.887532219031243e+26
-2.1366214462365174e+27,-3.044958638271135e+37,-1.3467393098934932e+27
-5.073158163224258e+27,-1.0169783890792762e+38,-3.077962081269501e+27
-1.133272419148503e+28,-3.517207054426023e+38,-6.923091403987347e+27
-2.5840158830297835e+28,-1.1920465752208272e+39,-1.5247516654739265e+28
-6.273656910412511e+28,-4.1824942420802586e+39,-3.6054734198788703e+28
-1.4568572527023908e+29,-1.4634960338752671e+40,-7.945295190562932e+28
-3.34657985283313e+29,-5.086061169936968e+40,-1.7609312688237398e+29
-8.00745202603548e+29,-1.7580446614725474e+41,-4.026902420999604e+29
-1.873528210183059e+30,-6.08146544277667e+41,-9.40178194928651e+29
-4.328103598217579e+30,-2.0976395085490152e+42,-2.1498801395983667e+30
-1.0250781669747629e+31,-7.296558352503482e+42,-4.9934578691994504e+30
-2.385797188598886e+31,-2.5805629298043027e+43,-1.157047620804442e+31
-5.524593118431947e+31,-8.878079955586444e+43,-2.736898832177771e+31
-1.2464949783233783e+32,-3.141849420698276e+44,-6.4075332277507845e+31
-2.8416415287903026e+32,-1.0785270883875084e+45,-1.4733288466932884e+32
-6.863684401153388e+32,-3.6524144209095636e+45,-3.27332689444182e+32
-1.544666719908237e+33,-1.2531086547696704e+46,-7.418101855737279e+32
-3.6097670738344225e+33,-4.3537951747355885e+46,-1.6238961580554847e+33
-8.122766326313208e+33,-1.4662373989315989e+47,-3.721682411991525e+33
-1.8555979334208163e+34,-4.929761196113267e+47,-8.526747950134187e+33
-4.112935320906953e+34,-1.670966111978617e+48,-1.9143291105785068e+34
-9.526967095873539e+34,-5.819328745944536e+48,-4.323537235630468e+34
-2.2170007417368184e+35,-1.9448823749804294e+49,-9.81163226945918e+34
-5.1862354054969635e+35,-6.597950760797119e+49,-2.141627957911829e+35
-1.188391429824766e+36,-2.2608000511061657e+50,-4.805276686289064e+35
-2.789014064369351e+36,-7.638702859143459e+50,-1.1337733554305021e+36
-6.449410695054849e+36,-2.6134753672694658e+51,-2.6137720921127052e+36
-1.5316756908642827e+37,-8.805766886734643e+51,-6.436524921872381e+36
-3.4513985242400284e+37,-2.93374988862374e+52,-1.5549722436872527e+37
-7.878443687818296e+37,-1.039490945182787e+53,-3.6369463046402365e+37
-1.806725971503788e+38,-3.4793114331019823e+53,-8.432561651052978e+37
-4.167119755158598e+38,-1.2157299606128212e+54,-1.9206636370755427e+38
-9.44609894918077e+38,-4.154999429386459e+54,-4.2765046941124686e+38
-2.1721533293943718e+39,-1.416802190984221e+55,-1.00974682845763e+39
-4.9702074699789865e+39,-4.896582353980096e+55,-2.4357937791470125e+39
-1.153190585689064e+40,-1.6855805283634384e+56,-5.526024838732144e+39
-2.7362142039054593e+40,-5.867599558579543e+56,-1.2089333165716234e+40
-6.470182960777531e+40,-2.040140751261458e+57,-2.7619098425068824e+40
-1.48020746413224e+41,-6.947910512379964e+57,-6.53389363808144e+40
-3.2830150058853775e+41,-2.3807785374974505e+58,-1.5802768096782682e+41
-7.623899907775161e+41,-8.266270818465664e+58,-3.834044122889541e+41
-1.742878447423458e+42,-2.918541014741569e+59,-8.928187279678381e+41
-4.0995607632495976e+42,-1.0259845734791043e+60,-2.141529841173005e+42
-9.106366311379223e+42,-3.570302252533224e+60,-4.9829764742990336e+42
-2.1003987119495553e+43,-1.2691993016179924e+61,-1.1803020700494215e+43
-4.846564983635857e+43,-4.495661942618146e+61,-2.824333746245392e+43
-1.0897041482053065e+44,-1.4813755621681504e+62,-6.358937191749788e+43
-2.470574189097308e+44,-4.967990550200913e+62,-1.4070035141239332e+44
-5.686984230370264e+44,-1.6952832642915652e+63,-3.185168133753952e+44
-1.3202542261842682e+45,-5.675248901197124e+63,-7.368381458062928e+44
-3.063108391101282e+45,-1.9198133788701185e+64,-1.7051662346964708e+45
-7.219311787527516e+45,-6.56235294842266e+64,-3.7358539958887044e+45
-1.7507036883446945e+46,-2.2281189079863163e+65,-8.753575494792485e+45
-4.0376080087025326e+46,-7.631811396452314e+65,-1.9966133071015082e+46
-9.068214017614403e+46,-2.6126573511779413e+66,-4.589135611669894e+46
-2.056768036737825e+47,-9.044299406358561e+66,-1.0924060302004035e+47
-4.704907548698013e+47,-3.099348568198584e+67,-2.503354094648784e+47
-1.0552887092381283e+48,-1.0702686692884612e+68,-5.825483626302527e+47
-2.4063428173272506e+48,-3.6866765167770285e+68,-1.3260413707263756e+48
-5.4348568919066e+48,-1.2264235120011299e+69,-2.950117593111561e+48
-1.3100807443572334e+49,-4.224242749770248e+69,-6.837770125120914e+48
-3.1470920903473325e+49,-1.474051415222564e+70,-1.5509406373081248e+49
-7.578157670495437e+49,-5.1013873948177805e+70,-3.4543687299186343e+49
-1.7249434507482173e+50,-1.7515984350003818e+71,-7.934178611093007e+49
-4.059633177485925e+50,-6.08664339050271e+71,-1.787032020691022e+50
-9.546583010767898e+50,-2.0725998662886207e+72,-4.143994696887561e+50
-2.1393271083369635e+51,-7.2671992518281e+72,-9.644782283677904e+50
-5.1497518677582515e+51,-2.5127009857413058e+73,-2.2030871749219362e+51
-1.1722755113178458e+52,-8.557336728469591e+73,-5.224096222350095e+51
-2.610324070841951e+52,-2.994420519655011e+74,-1.249522032004718e+52
-6.347591277657355e+52,-1.0661882497038006e+75,-2.867758696956416e+52
-1.486843154361544e+53,-3.7008214688425484e+75,-6.655442330347194e+52
-3.733591669681682e+53,-1.2879875208060083e+76,-1.5580305027358628e+53
-8.665389565382519e+53,-4.4803688557793935e+76,-3.618213785509728e+53
-2.1264602200109256e+54,-1.5286130661671974e+77,-8.753411169924911e+53
-5.145235055169861e+54,-5.338056194565411e+77,-2.0137689136885442e+54
-1.2116741570312028e+55,-1.8442670420822352e+78,-4.507871722612277e+54
-2.8044665712799926e+55,-6.414432897101487e+78,-1.0511136343960305e+55
-6.401255732410409e+55,-2.173240959163404e+79,-2.4041090806287402e+55
-1.516175678338166e+56,-7.491618488439719e+79,-5.59637899383366e+55
-3.479437274158364e+56,-2.657743618346247e+80,-1.2968064636647714e+56
