pso,hgapso,logapso
535.0299280246447,683.4330970194659,551.3829442462707
-1931.9883101986172,-1079.5737660084656,-1993.6464551797173
-4403.243123272528,-3821.370088567609,-3801.507554185573
-6283.272290599115,-4860.579195282149,-4401.314618873259
-9317.013842721888,-10887.30541526843,-6939.9020919491595
-13980.92481174983,-22637.699085621793,-10370.456741644248
-23708.289302545127,-52864.83264079221,-16756.370945340976
-40957.83793329742,-118254.39461636597,-32777.775822382726
-77959.8085015373,-344307.33561372734,-63256.67569427844
-152893.66948692227,-819461.201528814,-129504.26798829227
-319309.17563393916,-2101218.213734707,-259552.16757574686
-650306.1491047352,-5351290.621556608,-495067.1682135159
-1282958.0073948507,-13637154.512837116,-1005222.0926135683
-2423854.9728050316,-40506648.81114608,-1823855.7380987455
-4555585.412227874,-122565573.24086742,-3345121.7993040304
-8447219.209368883,-337571992.68062115,-5818847.414342719
-14100983.276045028,-980401432.037125,-9854524.338066997
-24181944.35844841,-2857508232.118949,-17315027.563880436
-42131120.60692696,-8528017345.265485,-31360575.041461237
-74187248.60835166,-25012551363.803154,-58432132.98422854
-141253780.92916933,-79633998587.24403,-122054923.12550452
-270677448.3782248,-262683321032.16138,-238139771.5993081
-557610377.1156411,-794410992693.7871,-462084977.70807374
-1175105006.3002846,-2618430934059.861,-909953096.1202074
-2548624097.341308,-8328549554650.807,-1858802337.1783154
-5166921759.204105,-26199465521544.184,-3625344313.5456376
-11600958010.93658,-89750292638198.92,-7332485952.904951
-25389251741.182777,-277160130044274.94,-15273333454.74624
-60280762340.323425,-871093175001989.8,-28492086096.1298
-144626421021.39487,-2964911319929318.0,-59819027185.73425
-326524052892.5834,-9683147098390772.0,-118582443215.98123
-749740519332.9103,-3.2004880410120536e+16,-243602350813.5003
-1735682172407.6023,-1.0105169524927477e+17,-468194573076.22595
-3779823829125.9478,-3.509242089420046e+17,-925574631712.1301
-7871685214721.119,-1.2275562404260582e+18,-1997540853177.4714
-17490722834613.66,-4.142488062998066e+18,-4180036729908.7017
-37834684794121.62,-1.447230163893354e+19,-9428826178179.988
-79116279239338.44,-4.904770112737492e+19,-22172809019893.008
-171779925579401.16,-1.700256471472134e+20,-49139211867396.17
-377400505595333.7,-6.184296519558848e+20,-116842642162628.67
-884812886775719.1,-2.1140227620244223e+21,-271550138532601.94
-2066492321805132.8,-7.227194978041922e+21,-634079661976719.8
-4515350741932889.0,-2.5842109832377924e+22,-1555557122341061.8
-1.0182612329839684e+16,-8.537615959973618e+22,-3709775046492493.0
-2.1559725149567212e+16,-2.9785094890418053e+23,-9181281633594640.0
-4.957064489608868e+16,-1.0250265856873543e+24,-2.3414197294871464e+16
-1.0673775476755557e+17,-3.804051515492146e+24,-5.509405701405156e+16
-2.2887884922883667e+17,-1.2525619534298461e+25,-1.2751517558669603e+17
-4.9291424050696666e+17,-4.25967377116431e+25,-2.736647662354306e+17
-1.0274206628954532e+18,-1.5100574216737578e+26,-6.006175524543282e+17
-2.1378377194022715e+18,-5.091563524495387e+26,-1.5123716426371868e+18
-4.83203930919639e+18,-1.7603266759993845e+27,-3.353195583646353e+18
-9.908005334627066e+18,-5.935707564714053e+27,-7.231339203386462e+18
-2.1329470421760406e+19,-2.0493613900521788e+28,-1.8237619189309889e+19
-4.5424992523257135e+19,-7.167462097306048e+28,-3.981624735768855e+19
-9.633107244981703e+19,-2.5158023980637595e+29,-9.007155588769022e+19
-2.02945090505882e+20,-8.858477775122346e+29,-2.085238640772189e+20
-4.4979040399895744e+20,-3.095574331513799e+30,-4.852563194462138e+20
-9.986670570378539e+20,-9.975323297282731e+30,-1.0602231693880792e+21
-2.2183794256993237e+21,-3.459488876380521e+31,-2.2677657147342987e+21
-4.83690850705129e+21,-1.2078153907976152e+32,-4.6408193514454364e+21
-1.0668826904910235e+22,-5.04449933918692e+32,-9.744163178060764e+21
-2.4622779242311754e+22,-1.727488988899173e+33,-2.048992634328328e+22
-5.471107959631269e+22,-6.274124305525464e+33,-4.121343545335236e+22
-1.1931130446619086e+23,-2.2173202764410254e+34,-8.676838047272653e+22
-2.6906564953309396e+23,-7.633615052700973e+34,-1.8427346579282695e+23
-5.979734430806941e+23,-2.7687082755493814e+35,-4.027789115391443e+23
-1.3628186778610747e+24,-9.425301074718749e+35,-9.345217443963387e+23
-3.004668403285803e+24,-3.314076272608823e+36,-2.1028673240726643e+24
-6.808371667452692e+24,-1.1737877878365168e+37,-4.7339308723697325e+24
-1.6716423634461194e+25,-4.1533926007399696e+37,-1.0365541324575904e+25
-3.9003868787651885e+25,-1.5529956600937264e+38,-2.22174463467953e+25
-8.590509397289091e+25,-5.465239678006826e+38,-5.209013338857322e+25
-1.9348961574606625e+26,-1.860503827997843e+39,-1.2355115471450447e+26
-4.4378701739845594e+26,-6.109568954636206e+39,-2.8143571309370926e+26
-1.1079853473375105e+27,-2.0425866437496531e+40,-6.435995466354785e+26
-2.8153550432679273e+27,-6.785462872218766e+40,-1.4692562260969497e+27
-6.404893425426538e+27,-2.395497703607986e+41,-3.446982807997348e+27
-1.4777762485271388e+28,-8.307697842511924e+41,-7.714889295990249e+27
-3.3398920968153285e+28,-2.8128427653834824e+42,-1.6780080545261585e+28
-7.2924228862086105e+28,-9.47356759045397e+42,-3.6238397203964138e+28
-1.8798554487227032e+29,-3.418282376529462e+43,-8.813522769713474e+28
-4.437530189885995e+29,-1.1425303710793967e+44,-1.9694660150204576e+29
-1.0056940332362934e+30,-3.697714338080115e+44,-4.422971563048823e+29
-2.255673437971081e+30,-1.3007265799168534e+45,-9.978828764917912e+29
-5.081691230996371e+30,-4.163055799360964e+45,-2.1840611308678028e+30
-1.0618124719102006e+31,-1.4461624793007812e+46,-4.9806585671907755e+30
-2.319257990672054e+31,-5.13884511569869e+46,-1.123745205789942e+31
-4.85252868457864e+31,-1.739092062262659e+47,-2.544546637270871e+31
-1.0282605480626406e+32,-5.9262236826866746e+47,-5.894126577988599e+31
-2.154168648459357e+32,-2.0485819470145577e+48,-1.3587165344298733e+32
-4.446829273487421e+32,-7.129604213270497e+48,-3.0182146717976983e+32
-1.0090941693873153e+33,-2.2371990220106258e+49,-6.965567774437013e+32
-2.2547858077608592e+33,-7.930995550408332e+49,-1.521969548355083e+33
-5.0046802934123485e+33,-2.7053543397914874e+50,-3.49530045393808e+33
-1.1569358963879949e+34,-9.503296656398503e+50,-7.572753198909648e+33
-2.6216914935085577e+34,-3.2137218156529725e+51,-1.7512902023258872e+34
-5.687767469242801e+34,-1.164152091569199e+52,-3.983231401212187e+34
-1.263215901391882e+35,-4.0227032546650193e+52,-9.30849471205751e+34
-2.743207192600318e+35,-1.434886807868569e+53,-2.091762780851389e+35
-6.970218929366963e+35,-4.96783989881807e+53,-4.5789002656580035e+35
-1.5737151523779505e+36,-1.7028774193932324e+54,-1.0663349263658016e+36
-3.6178132111671376e+36,-5.757175154872359e+54,-2.398095314379479e+36
-8.25512489692328e+36,-1.9953128960836627e+55,-5.469293994224854e+36
-1.8640968255359164e+37,-7.192266010161543e+55,-1.2140559124359711e+37
-4.0608166095682134e+37,-2.415406196191637e+56,-2.7288956726356706e+37
-9.152350720647043e+37,-8.075565642243266e+56,-5.952736359847395e+37
-2.150363138394687e+38,-2.6553364810144314e+57,-1.3614470851347848e+38
-4.616095633063811e+38,-9.231583696304796e+57,-3.0800221804590392e+38
-9.844557560752734e+38,-3.077176989435083e+58,-7.483457621624897e+38
-2.0705691286065654e+39,-1.0366502219446562e+59,-1.7527029504250736e+39
-4.60481679619682e+39,-3.433531704807693e+59,-4.2363507106091225e+39
-1.0702381091733827e+40,-1.139986688364856e+60,-9.619398139394838e+39
-2.553523329357225e+40,-4.087254965770059e+60,-2.3565399479300864e+40
-5.915899777602198e+40,-1.3430246612839118e+61,-5.384327370334058e+40
-1.458438766492314e+41,-4.664220830474418e+61,-1.2392940398292979e+41
-3.4412163139244887e+41,-1.687737541515991e+62,-2.789648217762441e+41
-7.876921294791973e+41,-5.646009212537032e+62,-6.502033605687326e+41
-1.711258773288439e+42,-1.9600058025000456e+63,-1.4092923085527525e+42
-3.6345273994387296e+42,-6.693606075891829e+63,-3.3685978770774186e+42
-7.77854642062213e+42,-2.1058553433211714e+64,-7.51795270006229e+42
-1.881027730518656e+43,-7.205790169327036e+64,-1.721899719084561e+43
-4.1456198081381536e+43,-2.4689679655194693e+65,-3.825482878328798e+43
-9.656372297020553e+43,-8.403578628955426e+65,-8.462256242891512e+43
-2.44518852029992e+44,-2.912086824038781e+66,-1.863891656898612e+44
-5.599642131341751e+44,-1.0021268812342035e+67,-4.069110565773821e+44
-1.2865423294834049e+45,-3.436360926262668e+67,-9.575413317596284e+44
-2.879725553193157e+45,-1.1592707317442193e+68,-2.239079910310498e+45
-5.96384029449155e+45,-3.8350346433390275e+68,-5.527619901414164e+45
-1.3311625514070473e+46,-1.3323183295616618e+69,-1.301933527043755e+46
-2.874695655778257e+46,-4.402447849652555e+69,-2.951976327804736e+46
-6.546877220640321e+46,-1.5183088098118437e+70,-7.200179989075281e+46
-1.4696252184436042e+47,-5.0953198228286383e+70,-1.7031193295533682e+47
-3.1777879008638612e+47,-1.7333823668834254e+71,-3.9404718132146855e+47
-6.935037152261499e+47,-6.197912110162089e+71,-8.741736055730252e+47
-1.6207516373878028e+48,-2.143785493289279e+72,-2.0116579172690105e+48
-3.4165890495255395e+48,-7.274894225507445e+72,-4.3546305502038466e+48
-7.109464626342316e+48,-2.4708050727294527e+73,-1.0184874276870322e+49
-1.4497240759186614e+49,-8.318887134743891e+73,-2.3715015585845186e+49
-3.055593090486113e+49,-2.7814344760219097e+74,-5.237227991219395e+49
-6.342124599229909e+49,-9.497791068506167e+74,-1.1715128355280403e+50
-1.3712738818327836e+50,-3.2217318092122486e+75,-2.7834353950004165e+50
-2.983063400865928e+50,-1.1522765031938874e+76,-6.925440028904552e+50
-6.3636201255436995e+50,-3.9208865773937924e+76,-1.617034138240086e+51
-1.3847591599741075e+51,-1.3660933411179126e+77,-3.611126035438212e+51
-3.054896138304918e+51,-4.552309991844529e+77,-8.180661797779656e+51
-6.557056411074028e+51,-1.628163826508915e+78,-1.7936235762010844e+52
-1.4287031408323238e+52,-5.8582821005939585e+78,-4.414736915702995e+52
-3.507031911849403e+52,-2.029802717586263e+79,-1.055930640734086e+53
-8.348051654292807e+52,-7.340715689327658e+79,-2.493777498924414e+53
-1.9360907560515865e+53,-2.551355861542776e+80,-5.646082959207733e+53
-4.458238738035643e+53,-8.957873247845827e+80,-1.2947998602565767e+54
-9.748358403488516e+53,-3.0963438455298344e+81,-2.9192317754775674e+54
-1.9946120064190892e+54,-1.043814618315473e+82,-6.525457960895683e+54
-4.387243699455304e+54,-3.628206291734623e+82,-1.699483157963553e+55
-9.528087851560238e+54,-1.239609726286049e+83,-3.839374707862457e+55
-1.9876967830014818e+55,-4.100589425571561e+83,-8.820396780666271e+55
-4.3370900052301606e+55,-1.4552207261078973e+84,-1.9027966934213273e+56
