pso,hgapso,logapso
475694512.90060294,475972434.4812999,475734623.44956434
473835550.7126931,474778019.70730704,473844155.6810919
470638802.2478315,472951797.25726855,470754949.90878105
466467553.905062,468777805.99294865,466361372.4989977
460870651.7705668,462394077.5824095,460448047.8070773
453188838.6155729,450248876.75623333,452896895.6928457
442970707.94831973,429695342.62890923,442699378.0894211
429270862.1421326,393626794.20497024,430302852.0575989
409177492.5274868,330437850.34980035,412585784.4152775
381292603.2547286,231295793.7822709,389055392.46721977
342180489.89595366,82638952.79003668,357416734.6899594
291792724.16862446,-365671324.8770359,316848342.75981826
218110946.04037228,-2685863976.154952,262742540.37319526
72845469.91930471,-11228907543.354084,170284177.1683724
-307284208.12533545,-43638542017.23198,-31268905.662897967
-1241476348.3240952,-158575681342.73785,-491599773.01038635
-3485660281.0904846,-551692564130.5669,-1675281257.4741557
-9117815378.437685,-1901693400213.9414,-4401288470.953391
-21879910704.12905,-6580693363211.054,-10954262271.663305
-51099143368.469925,-22902240893153.098,-26831107552.47519
-120375075775.40628,-78599293902552.66,-58812351012.84902
-272761601195.59375,-275203074816983.1,-143464739473.64566
-591629611583.7339,-936174585950523.8,-335304303481.69714
-1354990710951.602,-3233006984231359.5,-750757539384.8933
-2995073225380.7915,-1.1358067874582462e+16,-1730961855130.9421
-6599362790067.879,-3.88775756878164e+16,-4000492869049.8413
-14625677558024.615,-1.3535164489891102e+17,-8924761695818.875
-33976335314317.8,-4.679646229795012e+17,-23573112252796.066
-76288029999282.98,-1.6325035524262602e+18,-55233941749111.68
-167825295654088.7,-5.697126997646232e+18,-124491588411480.6
-372880156034049.5,-1.977714239292536e+19,-281727808055496.9
-818098726573039.2,-6.79644503765515e+19,-655277287520569.8
-1755946597401611.8,-2.2543466619794443e+20,-1574767897570532.5
-3723901155045973.0,-7.705134979639396e+20,-3594241796891479.0
-7940519032866773.0,-2.6439529385596006e+21,-8387443928481712.0
-1.750789441656112e+16,-9.325471099926344e+21,-1.878091432120925e+16
-3.949703809172467e+16,-3.276598046204592e+22,-4.531712603495886e+16
