pso,hgapso,logapso
13154784.023214493,13174812.491846204,13154323.768320326
13110614.434268303,13148516.213719828,13109090.957052017
13048894.869001936,13108254.998923935,13041712.38973819
12964445.206657466,13037015.496149747,12946728.972037602
12860607.143558884,12921259.271140585,12830178.98635846
12734533.523665767,12706628.121722598,12682625.313784515
12563566.09396404,12272248.60377171,12480493.566086471
12355346.033088805,10956826.771706574,12218269.803864678
12064207.51352939,2777550.011883132,11771785.505044492
11536962.89137717,-17765564.795951627,10653348.638859373
10232597.860665327,-32331716.08706857,6661492.6213009
6999657.444490786,-35986216.84226874,-2435347.152566693
2533451.4684139877,-36922111.65020348,-15945502.971193213
-2978602.674057117,-38889342.989766605,-26065937.51727762
-9491446.044382703,-42457570.29679372,-30762144.266639024
-18364622.946001165,-46957218.25050625,-32906178.436386175
-27216120.844551325,-58720999.85629378,-33627679.42259697
-30610573.822616093,-86118280.67975385,-34514169.76771783
-31455070.057319112,-182697291.24502993,-35685817.63991083
-32168127.774873782,-415321608.00072044,-37154784.51071987
-33656234.11059227,-1344044522.703583,-39200162.22829364
-36040902.25968194,-3740381583.5008574,-41771118.6642568
-40418574.75253148,-12402379417.25893,-45411092.80924514
-47903121.455041125,-36445428151.067764,-50856440.00129311
-62489542.636470616,-130430002838.98312,-61286643.04437105
-86740855.14968824,-595784175528.5645,-79268241.16375713
-159839399.83090788,-2157977455146.4602,-116176739.65245041
-364924318.3513361,-6340112895120.491,-204818116.8045028
-906869731.0612577,-22930340770053.54,-382667146.7398386
-2268248441.2816763,-73574539599264.56,-812834429.2458944
-5846973328.966404,-271663216504726.8,-2103828363.7614903
-13617449461.078623,-897838582325456.0,-5032747143.308426
-32134899775.852997,-3151361673989419.0,-11577388752.342022
-67086478789.08213,-1.0536408097523052e+16,-27450359526.516647
-153837823496.15094,-3.765314331185367e+16,-61109140351.11882
-335004305947.40546,-1.2434347798007598e+17,-128113901119.82622
-745511477563.3068,-4.24828093685768e+17,-276036434323.7089
-1699781912342.7134,-1.506067890603993e+18,-580911512720.982
-3909545195412.3125,-4.93602506396435e+18,-1248854543633.8826
-8608623664265.256,-1.651254759490755e+19,-2562671251289.7095
-18748002277614.58,-5.533214714180253e+19,-5790477990438.635
-38653292265744.13,-1.826981515664679e+20,-11942755495815.355
-86093780216006.78,-6.664452125871789e+20,-28547330780409.895
-188210898485288.94,-2.1192927211561885e+21,-62338725353801.21
-392670851737202.9,-7.669909907310904e+21,-148782285274044.44
-899846877134755.9,-2.5002418332060476e+22,-374764554882472.4
-1916422633001636.0,-7.999036417760756e+22,-942580607554986.6
-4442446429748644.0,-2.815261604551479e+23,-2491022310877795.0
-9236623461729676.0,-9.401565654237802e+23,-6049132835352191.0
-1.7603913265930716e+16,-3.0496164052954757e+24,-1.624258553471631e+16
-3.5663837379087596e+16,-9.867246502806691e+24,-3.5984424666050252e+16
-7.825197254852688e+16,-3.4868662549338965e+25,-8.066863456935854e+16
-1.5957256350574963e+17,-1.2434468523812881e+26,-1.926062042545901e+17
-3.3106560873792006e+17,-4.2685681198798946e+26,-4.04581993175944e+17
-6.58894229904878e+17,-1.3361557289653093e+27,-8.637204938584973e+17
-1.2271137335901478e+18,-4.7656315299193237e+27,-2.1163608791341978e+18
-2.5001562675925596e+18,-1.6232490681317346e+28,-4.52812879683039e+18
-5.153083591149951e+18,-5.523297723120928e+28,-1.0373046836175747e+19
-1.1334676311133071e+19,-2.018035266510715e+29,-2.4318330752522195e+19
-2.3304997344092738e+19,-7.051289791992364e+29,-5.7041355416712946e+19
-4.852823098800369e+19,-2.5139055604991732e+30,-1.245891654097632e+20
-1.0070494110125441e+20,-8.716684988771918e+30,-2.9482328999605368e+20
-2.1436070713705464e+20,-2.9318192918855577e+31,-6.6649031082063e+20
-4.8984363674191056e+20,-1.0203021363872263e+32,-1.6742170407715293e+21
-1.0483902178940309e+21,-3.388361670930682e+32,-3.8189293665135273e+21
-2.409757535009416e+21,-1.1548463358368069e+33,-8.306955353884377e+21
-5.414858823813752e+21,-3.765231957462449e+33,-1.7783938584395127e+22
-1.2055677277224823e+22,-1.2120900081958752e+34,-3.930841934811074e+22
-2.8457814717794833e+22,-4.3204297781740555e+34,-8.284126516590658e+22
-6.371670608925478e+22,-1.4783026845772865e+35,-1.857546186589893e+23
-1.3301680440866948e+23,-5.039069668389103e+35,-3.980251261928281e+23
-2.9025457165722527e+23,-1.6567214756020812e+36,-8.594745749020617e+23
-5.926065639105195e+23,-5.949409353619356e+36,-1.8866732450609703e+24
-1.3116504411504253e+24,-1.9759655082475229e+37,-4.0840074979750707e+24
-3.336325922551834e+24,-6.573618012176111e+37,-9.086272263301018e+24
-7.443992530074003e+24,-2.2189944660354596e+38,-2.1533769529731845e+25
-1.617190988724237e+25,-7.473551425188053e+38,-4.746582907785121e+25
-3.5096021004867275e+25,-2.5415327155783555e+39,-1.0560507680093981e+26
-8.822423325536198e+25,-9.338130670857714e+39,-2.2460317010290743e+26
-2.0883743346864174e+26,-3.0884664701642303e+40,-5.000531538606232e+26
-4.6157260115830756e+26,-1.0303927558182449e+41,-1.1003533755089669e+27
-1.0012054411436559e+27,-3.6782910906402e+41,-2.3376163350520767e+27
-2.6083740997749134e+27,-1.2367596516538626e+42,-5.009488163550166e+27
-6.385182816590243e+27,-4.149131435654488e+42,-1.2444766740528141e+28
-1.4998503144732617e+28,-1.3749767629900823e+43,-3.0491106675066865e+28
-3.4087999741762997e+28,-4.596131695228636e+43,-7.413089238610695e+28
-8.171200316039297e+28,-1.6455231179403932e+44,-1.950545390931501e+29
-1.792736849022919e+29,-5.4563428256665374e+44,-4.9929451760413706e+29
-3.5997226451405546e+29,-1.8552620777614837e+45,-1.2140112397688576e+30
-8.981523070785935e+29,-6.445620853081255e+45,-2.996646988433446e+30
-2.077714389460543e+30,-2.1865224906090682e+46,-7.919095776383996e+30
-4.9458668014023766e+30,-7.199138457104477e+46,-2.017509015942277e+31
-1.089002440663742e+31,-2.544443975774095e+47,-4.586113649776473e+31
-2.4119635134695326e+31,-8.37401051440256e+47,-1.2819990003854616e+32
-5.184657544874034e+31,-2.8762229364449508e+48,-3.0002770707734477e+32
-1.3112950759537177e+32,-9.882444570909925e+48,-7.330236471980569e+32
-3.1401308053214867e+32,-3.5817070362229804e+49,-1.8267291337583366e+33
-8.135307505492414e+32,-1.270116860392351e+50,-4.113898906528604e+33
-1.833490513987936e+33,-4.410733291624689e+50,-9.49350440955266e+33
-4.1889668704059645e+33,-1.500781497145125e+51,-2.074689783309041e+34
-9.457466188561704e+33,-4.7302826458257734e+51,-4.474504074334527e+34
-2.037122022317699e+34,-1.6449873192581543e+52,-9.609841316642597e+34
-4.702336381969306e+34,-5.821796597012524e+52,-2.2007644558358117e+35
-1.081660112227344e+35,-1.983266698214109e+53,-5.5018826735642285e+35
