pso,hgapso,logapso
127491277600.97871,57171902449.59581,127490488364.18217
127491277600.97871,24030640407.69337,127490488364.18217
127491277600.97871,9543838317.91306,127490488364.18217
127491277600.97871,3795525489.540324,127490488364.18217
127491277600.97871,1847191122.8140457,127490488364.18217
127491277600.97871,885848712.8904827,127490488364.18217
127491277600.97871,420686641.92105067,127490488364.18217
127491277600.97871,227298563.3622272,127490488364.18217
127491277600.97871,110221457.48186132,127490488364.18217
127491277600.97871,71757631.5224792,127490488364.18217
127491277600.97871,58478661.19615855,127490488364.18217
127491277600.97871,50543269.35848608,127490488364.18217
127491277600.97871,43212382.12953814,127490488364.18217
124256168088.7609,34472926.89760614,127490488364.18217
124256168088.7609,31299944.44229843,127490488364.18217
124256168088.7609,29537294.639129974,127490488364.18217
124256168088.7609,29110980.510210745,127490488364.18217
118441698228.0488,28391583.00599143,127490488364.18217
118441698228.0488,27957926.827188384,127490488364.18217
118087020736.66646,27812916.756945036,127490488364.18217
111170732976.48225,27800853.806625925,127490488364.18217
111170732976.48225,27800853.806625925,127490488364.18217
109558615135.00894,27800853.806625925,127490488364.18217
104981310549.43033,27800853.806625925,127490488364.18217
104981310549.43033,27800853.806625925,127490488364.18217
103839481114.1778,27800853.806625925,127490488364.18217
102129886671.78256,27796948.101942785,127490488364.18217
97407230369.92615,27796948.101942785,127490488364.18217
95912638237.78035,27796948.101942785,127490488364.18217
95742137649.70708,27796948.101942785,127490488364.18217
95455514408.45137,27796948.101942785,127490488364.18217
94633600305.02654,27796948.101942785,127490488364.18217
94633600305.02654,27796948.101942785,127490488364.18217
87672190767.28784,27796948.101942785,127490488364.18217
87672190767.28784,27796948.101942785,127490488364.18217
84150272794.26218,27796948.101942785,127490488364.18217
80826912312.6131,27796948.101942785,127490488364.18217
79883036683.28677,27796948.101942785,127490488364.18217
79778379374.44171,27796948.101942785,127490488364.18217
78694132423.65276,27796948.101942785,127490488364.18217
72586213178.72762,27796948.101942785,127490488364.18217
70249254445.62184,27796948.101942785,127490488364.18217
67034420528.087585,27796948.101942785,126197887565.74478
63625754919.549965,27796948.101942785,126197887565.74478
60226475329.61035,27796948.101942785,126197887565.74478
58733731758.75474,27796948.101942785,126197887565.74478
56334817209.8859,27796948.101942785,126197887565.74478
54930712092.991135,27796948.101942785,126197887565.74478
49629089344.32053,27796948.101942785,126197887565.74478
46994222688.60124,27796948.101942785,125459821252.33174
46994222688.60124,27796948.101942785,125459821252.33174
46337923207.50281,27796948.101942785,125150440653.41953
42036554378.47618,27796948.101942785,125150440653.41953
41354107682.81274,27796948.101942785,124882863531.79033
41294493866.45229,27796948.101942785,124779548862.3603
39476518648.13124,27796948.101942785,123211453101.49602
37294662291.405716,27796948.101942785,122988961969.34634
35961428779.13389,27796948.101942785,122749785716.25029
35158795161.2714,27796948.101942785,122454211318.12602
34510015801.62413,27796948.101942785,121827488095.3553
32046634310.480873,27796948.101942785,121746330807.10735
31619526141.753796,27796948.101942785,121691028249.1877
29907873508.708862,27796948.101942785,121687088506.05522
28175142082.825085,27796948.101942785,121663779232.45312
26870275229.020172,27796948.101942785,121646164168.07353
25720486637.838684,27796948.101942785,121556405260.65161
24903318830.732605,27796948.101942785,121425049518.54851
23177216909.920433,27796948.101942785,121167544399.45976
22324095394.131866,27796948.101942785,120891488999.34663
21680799009.096798,27796948.101942785,120708013266.00383
21357641457.75807,27796948.101942785,120584109549.39497
20421848452.93297,27796948.101942785,120342758531.70798
19250810763.660282,27796948.101942785,120171772729.56909
18448032703.577442,27796948.101942785,119875740844.99573
17770063179.865986,27796948.101942785,119788195131.91765
17217400116.1821,27796948.101942785,119678569840.9395
16470807685.565674,27796948.101942785,119600448220.7587
15624346875.589283,27796948.101942785,119469139711.12021
15181142576.651611,27796948.101942785,119318319394.5347
14797513804.483236,27796948.101942785,119187214884.87671
14304850056.645206,27796948.101942785,119071678034.17085
13514011875.044584,27796948.101942785,118988894269.44356
13221156952.34206,27796948.101942785,118929295297.02283
12185896528.414639,27796948.101942785,118820392942.10107
11730052799.700256,27796948.101942785,118742114819.00912
11060317722.68035,27796948.101942785,118685624531.03462
11008217809.713863,27796948.101942785,118600175275.2738
10458736582.34054,27796948.101942785,118570515560.70879
9809532815.905739,27796948.101942785,118548965811.71167
9223422574.418201,27796948.101942785,118458830582.37361
9066429756.685543,27796948.101942785,118193113181.3563
8681612874.930557,27796948.101942785,117910382848.37906
8558862104.735354,27796948.101942785,117595223827.65779
8187630021.800221,27796948.101942785,117370716993.66826
7953872369.739759,27796948.101942785,117210768199.14543
7555909201.607821,27796948.101942785,117096778712.47537
7510507980.293531,27796948.101942785,117015390061.85904
7295496889.153677,27796948.101942785,116900523569.78125
6958521341.699785,27796948.101942785,116729172971.11624
6734615494.273474,27796948.101942785,116606291337.69727
6236982855.292861,27796948.101942785,116456708625.44766
5900712016.338577,27796948.101942785,116349901146.8477
5818569993.975271,27796948.101942785,114102816923.85886
5666330346.581034,27796948.101942785,114016513680.24503
5235460963.237719,27796948.101942785,113902760255.56519
5030662962.583895,27796948.101942785,113769178340.58208
4887374446.936575,27796948.101942785,113673777398.97685
4746160695.36067,27796948.101942785,113474226668.17917
4570169296.486882,27796948.101942785,112811615783.11172
4397959285.965831,27796948.101942785,112640054820.68607
4260267724.1223426,27796948.101942785,112516533207.38428
4087186146.8443236,27796948.101942785,112427282465.45491
3948070837.149095,27796948.101942785,111553478620.10576
3803803758.5108175,27796948.101942785,111465429732.34952
3680695881.013439,27796948.101942785,111105213130.25333
3622459298.0770864,27796948.101942785,111010096363.27592
3461250605.414364,27796948.101942785,110976819546.38882
3288999776.41332,27796948.101942785,110838722845.44736
3138022117.8610835,27796948.101942785,110590204393.11496
3002216144.5565567,27796948.101942785,110465289716.48051
2931963769.5374236,27796948.101942785,110375227013.99968
2747156668.888734,27796948.101942785,110234067946.98555
2653186181.1921206,27796948.101942785,109849143876.33386
2617698569.924991,27796948.101942785,109815017471.32617
2556181314.613959,27796948.101942785,109790200258.44542
2398956616.086754,27796948.101942785,109643282612.30191
2373644941.753707,27796948.101942785,109238651497.24176
2355339661.6310115,27796948.101942785,108986909756.17159
2250484890.831032,27796948.101942785,108785865354.94963
2157877218.118619,27796948.101942785,108662645124.46643
2072386396.7118611,27796948.101942785,108529039358.16418
1944826341.0349727,27796948.101942785,108290930494.28407
1913508440.2883523,27796948.101942785,108189369817.72374
1855434569.9752781,27796948.101942785,107547017225.21425
1840403893.762858,27796948.101942785,107480568526.31651
1793020919.5297303,27796948.101942785,107435603914.57715
1707264287.0634072,27796948.101942785,107404863753.12277
1666900106.7510386,27796948.101942785,107176005786.12556
1586803690.479054,27796948.101942785,106917584553.30286
1530572142.1823528,27796948.101942785,106799744578.16418
1457015839.8517623,27796948.101942785,106717039760.5306
1412997903.3119726,27796948.101942785,106632961164.19974
1369063482.922708,27796948.101942785,106573211210.65712
1316680210.4033456,27796948.101942785,104597600651.31563
1289634456.1036248,27796948.101942785,104576082607.49619
1259868347.581924,27796948.101942785,104564656548.17107
1218467691.2372284,27796948.101942785,104556332736.84563
1180891554.0334952,27796948.101942785,104432809795.76195
1154628739.6982448,27796948.101942785,104316151083.26912
1101153064.3910904,27796948.101942785,103621716067.29074
1068448557.8822864,27796948.101942785,103619363028.82083
1017061966.9064472,27796948.101942785,103105245865.09526
1000971482.9664892,27796948.101942785,102598396085.66232
958392362.4415848,27796948.101942785,102448985258.15018
935843160.5447592,27796948.101942785,101950890382.1843
891849765.5589075,27796948.101942785,101796227644.35074
860450803.9912958,27796948.101942785,101685200282.18484
838703575.0106955,27796948.101942785,100761733745.99698
820083790.503277,27796948.101942785,100650354222.30852
802499002.9449297,27796948.101942785,100199966399.20285
752880864.9178889,27796948.101942785,97638004691.42221
724495259.7645382,27796948.101942785,96886157850.11282
699581633.0751005,27796948.101942785,96695770520.97237
677748742.937933,27796948.101942785,95297809650.2589
666128961.3134558,27796948.101942785,93930419332.45091
628234019.7742943,27796948.101942785,93901928762.27597
608370864.7277724,27796948.101942785,93864291404.41609
595752803.1088645,27796948.101942785,93831535781.46866
580378159.3170879,27796948.101942785,93762386497.5183
567702805.2955041,27796948.101942785,93472149855.1242
559265696.871189,27796948.101942785,93327920094.30405
538481093.4797686,27796948.101942785,92828239473.10336
525206068.5122526,27796948.101942785,92809885916.04424
517697190.38097954,27796948.101942785,92796590075.93474
500931800.1671215,27796948.101942785,92786939282.57108
491579105.8565732,27796948.101942785,92779924102.49184
483778691.4770366,27796948.101942785,92774819321.04854
475458227.8053845,27796948.101942785,92732945926.40327
466159994.3602749,27796948.101942785,92721472296.93298
450725025.333611,27796948.101942785,92719497642.88739
435771794.75932026,27796948.101942785,92530635019.62012
419329761.7507764,27796948.101942785,92370839146.9737
404132462.4938501,27796948.101942785,92228592104.44292
388014311.4451322,27796948.101942785,92133665352.09378
380900331.58473635,27796948.101942785,91676633307.4732
371867842.93348217,27796948.101942785,91448518631.5776
362566635.71262866,27796948.101942785,91175431309.72693
352451067.9568463,27796948.101942785,91041329157.0043
341849341.3204222,27796948.101942785,90912100520.00583
335331801.0974871,27796948.101942785,90438567062.517
326200836.86140966,27796948.101942785,90208215914.92905
318564996.7214235,27796948.101942785,89907776837.4733
314687382.2804116,27796948.101942785,89672438003.74374
304700415.45259017,27796948.101942785,89470319224.44824
299052158.11029375,27796948.101942785,89397217558.99234
290335903.15927064,27796948.101942785,88814804161.60843
285974986.08988,27796948.101942785,85494758909.13416
279461035.50243914,27796948.101942785,85189716780.75935
274863547.74883837,27796948.101942785,85080989641.35027
268566645.8803381,27796948.101942785,84038348323.1706
264299744.13146743,27796948.101942785,83872686209.22607
251149057.24617916,27796948.101942785,83783775088.76518
247515349.21765226,27796948.101942785,83719684602.1342
245574781.88991132,27796948.101942785,83586359642.82207
240417413.90973806,27796948.101942785,83390447948.56302
236647600.7418549,27796948.101942785,83044108979.99478
232457015.95627347,27796948.101942785,82896634332.63701
227777671.15436658,27796948.101942785,82682864255.35138
220243482.32503948,27796948.101942785,82569289690.21675
215282641.19592905,27796948.101942785,82259303716.86678
212967629.03071406,27796948.101942785,82050807428.34525
206772912.45484847,27796948.101942785,81940292011.5209
201481267.52331597,27796948.101942785,81879927075.18513
196273787.63538426,27796948.101942785,81782491491.69287
190386950.89956993,27796948.101942785,81696255265.30814
184044425.96395746,27796948.101942785,81639954770.89911
180382921.94600523,27796948.101942785,81486410185.39159
178989895.9989458,27796948.101942785,81294124581.52324
177611352.54178262,27796948.101942785,81163346448.92456
176213935.62627777,27796948.101942785,80806633567.12283
173280619.63724786,27796948.101942785,79854163639.17424
171559962.9294807,27796948.101942785,79778002982.76439
169171062.13662338,27796948.101942785,79484250143.23875
166062775.09438616,27796948.101942785,79309471746.42522
163218181.08257204,27796948.101942785,78589556937.57536
161158458.32524866,27796948.101942785,78443445545.46074
157444966.79459393,27796948.101942785,78238658815.89725
153613533.50926095,27796948.101942785,77969652348.01823
151266169.55739263,27796948.101942785,77482931834.01291
148279963.1127161,27796948.101942785,76985463242.58942
146098653.70563117,27796948.101942785,76759809167.50864
144137778.67913076,27796948.101942785,76279817987.85034
141478874.27620432,27796948.101942785,75787389942.13142
139582209.1373704,27796948.101942785,75599700799.6539
136879212.59660584,27796948.101942785,75536536608.72337
