pso,hgapso,logapso
31010.08250401984,31252.80339131642,31112.152803899044
23871.25207294278,27474.392103193746,26767.30548806517
17556.289875046656,22232.749236329073,15621.48476223912
9049.687753429647,15620.931046051575,11607.832320146215
2068.2125004306363,6026.294724131188,-2852.48073193849
-6820.5518781569335,-7889.832382689443,-16269.303799752259
-15936.894386881777,-26519.903359349428,-32739.909375984502
-33989.2025140262,-67808.93230417206,-58181.707049062265
-52667.51446802587,-102420.18035161393,-89264.91469572291
-76138.72592063618,-129809.44513375983,-135494.49774068268
-130812.1924924633,-177210.17507156578,-173124.99788242337
-184837.15252825746,-296578.21535250434,-288497.8935043153
-278448.65442957485,-426717.0604079591,-376297.9571259101
-391100.3461384723,-569663.5554992873,-481375.7487050102
-464902.3996506689,-855133.6603138393,-840747.3606875319
-682278.9873725998,-1393663.8323122999,-1308904.4187204365
-979433.0034881386,-2353522.6805913053,-1990791.9613832813
-1365662.3854992434,-4212473.306632852,-3078995.399776517
-1854311.2777525247,-7211799.824166174,-5151464.82379484
-2451708.678011944,-11088224.342054289,-8848035.417053146
-3440747.7422416797,-20057400.80907257,-13326793.766241582
-5133345.851905009,-33693505.80412264,-21268711.575904675
-7179900.992663719,-54205639.67976266,-34785268.13625575
-10054311.528455723,-95365985.6415386,-50703153.47696881
-13640730.179666793,-154757560.68858367,-75611958.43563119
-20953113.212351292,-432198935.2852315,-116150806.70242389
-28328089.858278304,-700296258.5036019,-206871456.2345864
-43473385.02014877,-1349854460.1865096,-356421516.78304935
-66710201.62867401,-2224012275.235907,-601548211.0377989
-109482658.13405725,-3528621996.3002534,-963021699.4632647
-166255779.28948927,-6348572766.534171,-1499313001.3367448
-238812057.3643853,-11827210419.168434,-2768398992.6093507
-446961854.6531555,-23467752946.157913,-4743871626.614478
-735367436.572876,-40648891889.74695,-7476245641.096591
-1150406413.6048622,-78346197382.78258,-13045644597.943014
-1889468807.0006766,-171767124597.21695,-20631442897.823414
-2974306536.7437553,-358347867280.23425,-32152973643.998547
-4915244737.930136,-707237328983.5443,-54510405078.47218
-7808984255.93616,-1220516599481.0505,-84636139261.37355
-13581099815.23692,-2119788784881.1633,-129427411013.07816
-21886446517.92288,-4399282309120.236,-181902986361.29532
-37457583529.13244,-6302352782444.178,-343101511248.2592
-63245273865.17305,-12570240638856.965,-609296630225.9347
-107325586940.2261,-19642801590191.254,-1035602663745.768
-176527039864.75974,-39835009783192.14,-1573545158858.2544
-276377953111.249,-75863230122390.25,-2782492104989.1455
-452212220385.91034,-103760982999026.34,-4534951655605.932
-720898924915.1602,-194072370321356.06,-8310486977267.003
-1248592374039.0664,-353323721752840.06,-13258674957887.848
-2083344328450.4805,-597614330493498.0,-22546184525036.08
-3331669989348.4277,-1119883560828947.8,-37457269784772.61
-5522056702615.842,-2042430658837522.8,-68067158427393.19
-8806738692029.338,-4020425453561168.0,-117718991823097.12
-13997092759964.215,-1.0285607769505124e+16,-177898150463874.28
-22104217458754.805,-1.8837156702391856e+16,-303418178312341.4
-36102302755404.375,-2.5403392946252644e+16,-499044878513084.7
-60042777747080.1,-5.5439698186656056e+16,-819727495643342.8
-103334347419985.4,-1.121576545741213e+17,-1494504386097419.2
-172293794510715.1,-2.0380227584404176e+17,-2407261663729710.0
-306658234209564.7,-3.869825893013774e+17,-4122256377476965.0
-504535543033608.4,-5.570451114543763e+17,-6501637720158038.0
-878990231693022.2,-1.2256062050658048e+18,-9884054326049954.0
-1399534829863927.5,-2.314562316583469e+18,-1.6378146349555004e+16
-2220337232314819.2,-3.5656653619402824e+18,-2.648608749644025e+16
-3578643044685529.0,-6.626350183143332e+18,-4.341658058143741e+16
-5563274443485401.0,-1.026848829183705e+19,-7.034931428574208e+16
-8310337941740525.0,-1.6120887123851244e+19,-1.0958733022537885e+17
-1.27452360483523e+16,-2.576822943100624e+19,-1.907605892841124e+17
-2.0944898913594068e+16,-5.8009016046751465e+19,-2.947490235808e+17
-3.5416120614266156e+16,-9.711687259990968e+19,-4.6160433951804794e+17
-6.0041564093338216e+16,-1.7286346097211566e+20,-7.940625631460159e+17
-9.144214124311984e+16,-4.482437107161491e+20,-1.20580476096366e+18
-1.494752431169877e+17,-8.088238584427656e+20,-2.054181677203097e+18
-2.2929950067176864e+17,-1.4532557430400934e+21,-3.8109737320091607e+18
-4.037418076408869e+17,-2.581519745708066e+21,-6.155275318084255e+18
-7.636415393934436e+17,-4.592735912996756e+21,-1.0552487969828809e+19
-1.2860092977145283e+18,-7.610184210340739e+21,-1.8210325265275466e+19
-2.2872005198633743e+18,-1.6793177661313921e+22,-2.842248170210514e+19
-3.8044214150496256e+18,-3.3634694807779134e+22,-4.3522265044276126e+19
-5.971802672011631e+18,-6.1862265174341735e+22,-6.6761628743392035e+19
-9.267791763438123e+18,-9.673308240409257e+22,-1.130701459843692e+20
-1.547728227805358e+19,-1.893755341470951e+23,-1.6702679308326987e+20
-2.5594971106943234e+19,-3.8944278755954294e+23,-2.7535183042627863e+20
-4.4879489244897804e+19,-7.360866633946869e+23,-4.377378992924837e+20
-6.936594244374176e+19,-1.3496537775177286e+24,-7.184792809161918e+20
-1.134960351301652e+20,-2.2601884149929073e+24,-1.2710863236847792e+21
-1.91986234188625e+20,-3.7073503844447885e+24,-1.9889275841395845e+21
-2.920180647724648e+20,-6.538981061540396e+24,-3.480944114347506e+21
-5.2973538061556593e+20,-1.132704581052513e+25,-5.689916825877544e+21
-8.959661673620415e+20,-1.7762231819501555e+25,-8.700543514745343e+21
-1.5290060546117222e+21,-3.410481744650856e+25,-1.361725397522783e+22
-2.512446591444275e+21,-7.228075349352058e+25,-2.219547968670483e+22
-3.8975937312172734e+21,-9.671202833296498e+25,-3.965034177087322e+22
-6.389746819678863e+21,-1.6493745191733482e+26,-7.207179570984896e+22
-1.0361511204855956e+22,-2.5674436375550867e+26,-1.2094877483843029e+23
-1.9598770670178044e+22,-5.643688124594999e+26,-2.093210433569198e+23
-3.3599252392924085e+22,-9.818321207584107e+26,-3.599496197277882e+23
-5.86549119752731e+22,-1.7119830295350736e+27,-5.665967882894554e+23
-9.625921338492137e+22,-2.498358327419748e+27,-8.859856278096516e+23
-1.574641898898699e+23,-6.559825434525147e+27,-1.4122890438960945e+24
-2.6004478652453122e+23,-1.1907346245364312e+28,-2.3543408684164637e+24
-3.948318429629312e+23,-2.1448142540821023e+28,-3.512691531180756e+24
-5.916786432717355e+23,-3.2996763854690885e+28,-6.165203431533134e+24
-9.596228009932264e+23,-5.334357416557999e+28,-9.995929326719595e+24
