pso,hgapso,logapso
0.1979521940106766,0.21728672995097228,0.19979328810935568
0.1561962401102306,0.16733878365596253,0.15508409077065535
0.1375524249931574,0.13478936662146962,0.13045135602022767
0.11727859816921275,0.10254448975565356,0.11070114097450286
0.09850745362832525,0.07098438681280819,0.08469935201289483
0.07781859455597726,0.05268097375191062,0.06771831722676837
0.06319212284680285,0.03655536783984702,0.051411669200777235
0.04846496563241586,0.021519927533362175,0.04097268205563174
0.03494128552258434,0.013374968826096382,0.03156725354117322
0.024996632510859245,0.008561656702041516,0.023393684895953858
0.0182470749982373,0.004605072106080773,0.018974985903482573
0.013767774938916361,0.0026744077913733824,0.01556876577370333
0.009883892243907908,0.0015138105281747366,0.013057628007122169
0.006001072465584687,0.0007214909460286365,0.00851696757489776
0.004280347253925732,0.0003958807158765481,0.005951329505182841
0.003212469393190475,0.00017961993630546876,0.0035316705524580105
0.002300594846200245,6.599573351167559e-05,0.0024876655339493747
0.0014961784256295658,3.8328212215683045e-05,0.0015827752390208342
0.0008538132114943294,1.9876752017927616e-05,0.0009287781303446672
0.0006119084853048018,1.1342764265668708e-05,0.0005646683856175661
0.0005037543827391521,5.992394265420722e-06,0.0003739494396272649
0.0003108929277559709,3.0201717736291057e-06,0.000240741295201538
0.00018758168123376816,1.2915210890685948e-06,0.00014473042302884368
8.760316047863753e-05,5.406199307880926e-07,9.92937669298404e-05
5.561969695698159e-05,2.6263036479159354e-07,6.295576522012096e-05
3.580269899256985e-05,1.3223639475902116e-07,4.843760703561718e-05
1.953488817103929e-05,6.526731003336325e-08,2.6788713734212288e-05
1.2818476063389952e-05,3.067415732909066e-08,2.190351637574974e-05
6.97082389289935e-06,1.7492718806774212e-08,1.4806343629814765e-05
4.948105291604628e-06,8.88342413415894e-09,8.0128019695809e-06
3.427450188420076e-06,4.888041852160464e-09,4.866607843945606e-06
2.4991469258907773e-06,2.2226171730704203e-09,4.211339104420146e-06
1.8384456540638551e-06,1.2871303791946254e-09,2.679329059121791e-06
1.463743860357557e-06,6.738729183854149e-10,1.836016959972642e-06
7.694634624405843e-07,2.967592705975477e-10,1.2943536800686054e-06
5.133689573043925e-07,1.8180637240626285e-10,1.0858092073988012e-06
3.6817309165391466e-07,8.991784677037399e-11,6.965185588962491e-07
